Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-08-11 23:13:40;2018-08-12 07:19:57;84%;8:06;;;0;9065
2018-08-12 22:04:13;2018-08-13 06:26:46;97%;8:22;;;0;4870
2018-08-13 23:14:02;2018-08-14 07:16:07;84%;8:02;;;0;8255
2018-08-14 21:21:52;2018-08-15 06:30:19;96%;9:08;;;0;8964
2018-08-15 21:57:40;2018-08-16 06:31:14;100%;8:33;;;0;2954
2018-08-16 21:14:27;2018-08-17 06:26:11;56%;9:11;;;0;4264
2018-08-19 02:04:55;2018-08-19 09:37:43;84%;7:32;;;0;5767
2018-08-19 21:26:24;2018-08-20 06:12:51;98%;8:46;;;0;10142
2018-08-20 22:00:27;2018-08-21 06:17:49;93%;8:17;;;0;2586
2018-08-21 21:43:05;2018-08-22 06:19:52;98%;8:36;;;0;8505
2018-08-22 22:53:47;2018-08-23 06:53:07;67%;7:59;;;0;12498
2018-08-23 22:02:04;2018-08-24 06:16:00;86%;8:13;;;0;12406
2018-08-25 00:44:25;2018-08-25 08:35:54;83%;7:51;;;0;17948
2018-08-26 00:16:01;2018-08-26 08:35:51;96%;8:19;;;0;15325
2018-08-26 21:25:53;2018-08-27 06:10:00;86%;8:44;;;0;3896
2018-08-27 22:15:52;2018-08-28 05:55:20;90%;7:39;;;0;9490
2018-08-28 21:54:38;2018-08-29 06:15:13;98%;8:20;;;0;6452
2018-08-30 21:17:07;2018-08-31 06:20:58;96%;9:03;;;0;3524
2018-09-01 01:08:45;2018-09-01 08:16:46;85%;7:08;;;0;17168
2018-09-02 03:06:51;2018-09-02 09:42:57;76%;6:36;;;0;16706
2018-09-02 22:49:55;2018-09-03 06:20:19;87%;7:30;;;0;2330
2018-09-03 22:47:14;2018-09-04 06:28:01;49%;7:40;;;0;5531
2018-09-04 22:15:03;2018-09-05 06:30:09;100%;8:15;;;0;1368
2018-09-05 22:39:52;2018-09-06 06:27:11;96%;7:47;;;0;2517
2018-09-06 21:46:24;2018-09-07 06:26:24;100%;8:39;;;0;451
2018-09-07 21:33:23;2018-09-08 06:30:46;64%;8:57;;;0;2441
2018-09-08 23:09:09;2018-09-09 07:30:04;68%;8:20;;;0;1231
2018-09-09 21:45:57;2018-09-10 06:29:55;74%;8:43;;;0;1806
2018-09-10 21:39:59;2018-09-11 06:25:28;75%;8:45;;;0;3282
2018-09-11 22:18:40;2018-09-12 06:24:58;72%;8:06;;;0;502
2018-09-12 21:17:35;2018-09-13 06:23:06;91%;9:05;;;0;8405
2018-09-13 22:23:09;2018-09-14 04:39:11;73%;6:16;;;0;8137
2018-09-15 00:32:54;2018-09-15 08:33:39;100%;8:00;;;0;3024
2018-09-15 23:11:25;2018-09-16 05:57:06;71%;6:45;;;0;1355
2018-09-16 21:56:03;2018-09-17 06:30:36;94%;8:34;;;0;2568
2018-09-17 23:24:13;2018-09-18 07:11:38;84%;7:47;;;0;5353
2018-09-18 22:49:13;2018-09-19 07:07:49;89%;8:18;;;0;1600
2018-09-19 21:52:43;2018-09-20 06:42:40;83%;8:49;;;0;1967
2018-09-20 21:19:37;2018-09-21 07:08:09;94%;9:48;;;0;6316
2018-09-21 22:50:57;2018-09-22 07:14:04;84%;8:23;;;0;8886
2018-09-22 20:30:07;2018-09-23 06:56:47;73%;10:26;;;0;987
2018-09-23 22:13:46;2018-09-24 06:45:45;78%;8:31;;;0;856
2018-09-25 01:06:31;2018-09-25 08:12:35;77%;7:06;;;0;2927
2018-09-25 21:29:12;2018-09-26 06:09:10;89%;8:39;;;0;764
2018-09-26 22:56:21;2018-09-27 06:34:48;76%;7:38;;;0;1772
2018-09-27 22:14:11;2018-09-28 06:24:56;83%;8:10;;;0;10937
2018-09-28 23:33:55;2018-09-29 05:54:48;68%;6:20;;;0;16102
2018-09-29 20:58:50;2018-09-30 06:05:36;84%;9:06;;;0;3076
2018-09-30 22:13:43;2018-10-01 06:30:01;70%;8:16;;;0;1811
2018-10-01 21:11:53;2018-10-02 06:11:59;100%;9:00;;;0;4556
2018-10-02 22:17:36;2018-10-03 06:49:50;93%;8:32;;;0;100
2018-10-03 22:47:02;2018-10-04 06:48:46;75%;8:01;;;0;204
2018-10-04 21:19:32;2018-10-05 06:49:56;89%;9:30;;;0;0
2018-10-05 21:22:18;2018-10-06 06:50:08;84%;9:27;;;0;0
2018-10-06 21:45:13;2018-10-07 06:45:00;89%;8:59;;;0;0
2018-10-07 20:43:28;2018-10-08 04:57:46;82%;8:14;;;0;0
2018-10-08 21:25:58;2018-10-09 06:29:58;100%;9:04;;;0;0
2018-10-09 21:42:33;2018-10-10 06:29:45;71%;8:47;;;0;0
2018-10-10 21:54:07;2018-10-11 06:29:52;79%;8:35;;;0;0
2018-10-11 20:58:42;2018-10-12 06:29:11;83%;9:30;;;0;278
2018-10-14 01:32:29;2018-10-14 08:14:47;82%;6:42;;;0;0
2018-10-14 22:13:06;2018-10-15 06:30:37;73%;8:17;;;0;0
2018-10-15 22:05:52;2018-10-16 06:29:58;78%;8:24;;;0;0
